Language,Mode,Cores,Simulations,Mean_Time_s,Std_Dev,Outliers_IQR
Rust,Strong,1,1000000,3.2052674821430367,0.13164692143834147,1
Rust,Strong,2,1000000,1.7114348879997852,0.05087207704344283,4
Rust,Strong,3,1000000,1.2547524310337332,0.07610526369072736,0
Rust,Strong,4,1000000,1.0443244392834978,0.04558821812428411,1
Rust,Strong,5,1000000,0.8971260178576423,0.04268599300673717,1
Rust,Strong,6,1000000,0.8219920407406149,0.07707950635888694,2
Rust,Strong,7,1000000,0.7380670464294131,0.050542640799404986,1
Rust,Strong,8,1000000,0.7268580551708823,0.053984398522640656,0
Rust,Weak,1,100000,0.326544163999497,0.005635075417280129,4
Rust,Weak,2,200000,0.3790586321436941,0.02030612549018816,1
Rust,Weak,3,300000,0.4252790607159633,0.016940991457604488,1
Rust,Weak,4,400000,0.41790130000110903,0.012146950145628815,2
Rust,Weak,5,500000,0.46053895357077373,0.028981254473856587,1
Rust,Weak,6,600000,0.4717809880006826,0.01603095679978429,4
Rust,Weak,7,700000,0.5261892448259711,0.04549121600182557,0
Rust,Weak,8,800000,0.5736461965505693,0.038534699569595994,0
