Language,Mode,Cores,Simulations,Mean_Time_s,Std_Dev,Outliers_IQR
Python,Strong,1,1000000,68.24802460344836,1.4737010261020875,0
Python,Strong,2,1000000,39.82692179310295,1.2639378827455814,0
Python,Strong,3,1000000,31.866262115384487,0.4358567979940999,3
Python,Strong,4,1000000,29.83064606800006,1.1645767095907331,4
Python,Strong,5,1000000,26.6395131448272,1.4009170430563562,0
Python,Strong,6,1000000,25.482979237930802,1.103072932664078,0
Python,Strong,7,1000000,23.375862403448615,1.5474718919021981,0
Python,Strong,8,1000000,23.058060443478492,0.4428021524307147,6
Python,Weak,1,100000,7.932975688888998,0.3933794109069723,2
Python,Weak,2,200000,9.43358164482749,0.6536377307918079,0
Python,Weak,3,300000,11.202825957692486,0.5065619842075966,3
Python,Weak,4,400000,13.106401596296227,0.5618946459306855,2
Python,Weak,5,500000,14.6478051269233,0.47403111851487456,3
Python,Weak,6,600000,15.22004090869529,0.27887587781830603,6
Python,Weak,7,700000,16.30630594137908,0.25750191457694666,0
Python,Weak,8,800000,18.093676111538464,0.26813830109424747,3
